uuid	patent_id	text	dependent	sequence	exemplary
00000dv6xkiuyewi5xds0rnr3	4968079	A golf ball retriever having no moving parts comprising:a curvilinear spine member having first and second free spine ends;a plurality of curvilinear rib members, each rib member having a first free rib end and a second free rib end, said rib members attached to said spine member approximately midway between the first and second free rib ends respectively to form a generally spheroidal basket having an opening defined by the first and second free ends of said spine member and the first and second free ends of each of said rib members, said opening having dimensions sufficient to allow a golf ball to pass therethrough; andattachment means connected to one of said spine and rib members for receiving a handle.	NULL	1	True
00000r4a5r3e2hm167c9cm2rw	7314340	The dual-module hole-punching and binding machine as in claim 1, wherein the cutting members of the second cutting unit of the second hole-punching unit are arranged as that there are two cutting members per inch of length.	1	10	False
00000rejd05iij13msnv8l3xg	8314468	A device as in claim 1, wherein the at least two rings comprise at least three doped rings.	1	3	False
000012b9w4ihskhd9osho7nlc	9464970	The automated stainer according to claim 1, wherein the display apparatus comprises a touch-sensitive screen.	1	2	False
000013hfhykqy470e0e0razo2	8823643	A remote computer user interface responding to user movement within an activation area defined by multiple induced perimeter sensor beams in a perimeter rail structure, said sensor beams activating electronic switches in a command and controlled electronic circuit interconnected with a computer, said perimeter rail structure having multiple upstanding beam sensor enclosures between and in communication with perimeter rails,said sensor beams in vertical spaced relation to one another in parallel alignment with each other and said perimeter rails.	NULL	1	True
00001g8c0rb11aa50zuqsasv8	6959202	A control device as set forth in claim 41, wherein the application program is capable of sending messages to another application program electrically coupled to the mobile radio communication unit.	41	55	False
000024f46okf0wgh5r77isz0c	9367511	A method for managing universal-serial-bus (USB) data transfers, the method comprising:receiving a plurality of endpoints for data transfers, an endpoint corresponding to a portion of a USB device;sorting the plurality of endpoints in a first order;generating a first transmission data unit including multiple original data packets, the original data packets being allocated to the plurality of endpoints based at least in part on the first order; andtransferring the first transmission data unit;wherein:the plurality of endpoints include one or more first endpoints and a second endpoint, the first endpoints having a higher priority than the second endpoint, the second endpoint being associated with a second payload corresponding to a second number of data packets;the method further includes:allocating a first number of data packets in the first transmission data unit to the one or more first endpoints, the remaining first transmission data unit corresponding to a third number of data packets;dividing the second number of data packets into a fourth number of data packets and a fifth number of data packets; andin response to the third number of data packets being less than the fourth number of data packets, allocating the third number of data packets in the first transmission data unit and a sixth number of data packets for overflow to the second endpoint, the fourth number of data packets being equal to a sum of the third number of data packets and the sixth number of data packets.	NULL	15	False
00002oe7jg97rmmep2z1zs5l9	4149148	The apparatus of claim 14 in which said display means further includes digital-to-analog converter means responsive to said transmitted digital video signal for providing a corresponding analog video signal to said cathode ray tube means, thereby displaying said symbols or patterns stored in said addressed symbol storage means in said channels with respect to said display cell associated with said point of said raster being generated.	NULL	15	False
00002u20k2uee1vu915obvlac	8217329	The microminiaturized projection module according to claim 1, wherein the light units comprise visible laser diodes.	1	13	False
00003ayokwi5e2riwhfc7ixnp	4939408	A high pressure sodium discharge reflector lamp according to claim 2, wherein said discharge device is comprised of a closed, hollow tubular body having a hollow cylindrical side wall and end walls closing said tubular body, a pair of discharge electrodes disposed within said tubular body at opposite ends thereof for defining a discharge gap between them, and electrode mounting means for mounting said discharge electrodes within said tubular body at opposite ends thereof and positioned with a tip end of each electrode facing the other electrode and with the tip end of each electrode spaced a certain distance from the adjacent end wall of said tubular body; and wherein said thermal control means is comprised of said electrode mounting means mounting the discharge electrode at the lamp base end of said tubular body closer to the adjacent end wall than the discharge electrode at the lamp dome end is to its adjacent end wall.	NULL	5	False
00004dmueq4mcey8el9mi8lrc	4931957	The apparatus of claim 9, wherein the designation means includes an indicia indicating a current display area from which to store the displayed image information into the optical memory means and shifting means for cyclically shifting the indicia from one display area to another display area.	NULL	11	False
00004y4mhlgu8dfnd5fm09yzf	6035330	A system for navigating a plurality of computer-implemented sites accessible on a communications network, each site providing access to files stored at that site, at least some of the files including one or more hypermedia links to other files, comprising:a browset accessing the files at the plurality of sites and displaying accessed files to a user;a computer-implemented map maker parsing the files at one of the computer-implemented sites to identify hypermedia links in the files, organizing the parsed information, and generating a map data file based on the parsed and organized information that represents in structural, outline format files available at the one computer-implemented site to identify hypermedia links in the files;a computer-implemented map database for storing the map data file; anda computer-implemented map viewer, in response to a request from the browser to display the map data file, retrieving the map data file from the map database and displaying a map of the one computer-implemented site corresponding to the map data file, the site map graphically illustrating in the structural outline format the structure and content of the files available at the one computer-implemented site and the hypermedia links between those files, wherein the user uses the displayed site map to navigate the one computer-implemented site.	NULL	1	True
00004y94hluikpxb70q47wqxr	9331848	A decryption system for a programmable integrated circuit device, said decryption system comprising:first combining circuitry;second combining circuitry; anda decryption engine for receiving, from the first combining circuitry, a first block of ciphertext, the decryption engine configurable to output, to the second combining circuitry, a block of decrypted data corresponding to the first block of ciphertext, wherein:the second combining circuitry is configurable to combine the block of decrypted data with a second block of ciphertext to output a block of obfuscated plaintext corresponding to the first block of ciphertext, andthe first combining circuitry is configurable to combine a block of obfuscated ciphertext with one of the block of decrypted data or the block of obfuscated plaintext to output a third block of ciphertext.	NULL	14	False
00007jawoh6924suotssxuw4n	6313822	The apparatus of claim 47, further comprising means, coupled to both the means for identifying and the means for creating, for overlaying an image having the second screen resolution on an image having the first screen resolution.	NULL	52	False
00007sdlnj0pp9xtthqzuw30w	6689857	The imbalanced biaxially oriented HDPE film of claim 2, wherein the base layer represents from about 80% to about 95% of the thickness of the film.	2	27	False
000083u2r0v2ai97fdab7rr9l	6437584	The method of claim 32 including urging a shorter one of said contacts into tilting motion at a later time than an immediately neighboring larger one of said contacts.	32	33	False
00008simd9p165a7hkfwyo7cf	7203889	The machine-accessible medium of claim 28, further comprising instructions that when executed cause the machine to perform operations comprising storing the user data and the error correction information in different memory regions so that the user data can be read independently of reading the error correction information.	28	29	False
0000bpk1qvv9lbytnvzf8qm90	5950132	The method as claimed in claim 21, wherein said method further comprises the step of:including, by said control center, registration status for said communication system users requesting registration in said at least one second response message.	NULL	22	False
0000dwrdcq0kcc2trs2lejck1	6605036	A surgical instrument assembly according to claim 10, in which the handle and control device are releasably mounted to the shaft as a removable, reusable, unit.	10	11	False
